task,pool_size,actual_pool_size,repeat,gold_count,returned_count,positive_score_count,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
adaptive-cruise-control,100,100,9,5,10,12,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.975788054854922,1
azure-bgp-oscillation-route-leak,100,100,9,1,10,13,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
citation-check,100,100,9,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,100,100,9,4,10,7,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,100,100,9,1,10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,100,100,9,2,10,9,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,100,100,9,2,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
data-to-d3,100,100,9,1,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,100,100,9,1,10,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,100,100,9,4,10,6,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,100,100,9,4,10,3,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,100,100,9,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,100,100,9,1,10,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,3
energy-ac-optimal-power-flow,100,100,9,3,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,100,100,9,4,10,5,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
enterprise-information-search,100,100,9,1,10,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,100,100,9,2,10,9,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5802792108518124,2
exoplanet-detection-period,100,100,9,5,10,13,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
financial-modeling-qa,100,100,9,2,10,5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.6509209298071326,2
find-topk-similiar-chemicals,100,100,9,3,10,12,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,100,100,9,4,10,22,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.75369761125927,1
fix-build-google-auto,100,100,9,3,10,13,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9325210919548239,1
fix-druid-loophole-cve,100,100,9,2,10,10,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.48381288316677695,3
fix-erlang-ssh-cve,100,100,9,6,10,9,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.7409096387260824,1
fix-visual-stability,100,100,9,3,10,13,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,1
flink-query,100,100,9,2,10,6,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.25,0.2640681225725909,4
flood-risk-analysis,100,100,9,3,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,100,100,9,1,10,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,100,100,9,3,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,100,100,9,2,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,100,100,9,3,10,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,100,100,9,5,10,3,1.0,1.0,1.0,1.0,0.6,0.6,0.6,1.0,0.7227265726449519,1
invoice-fraud-detection,100,100,9,3,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jax-computing-basics,100,100,9,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,100,100,9,5,10,8,1.0,1.0,1.0,1.0,0.2,0.4,0.4,1.0,0.48522855511632257,1
lab-unit-harmonization,100,100,9,1,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,100,100,9,4,10,8,1.0,1.0,1.0,1.0,0.25,0.75,0.75,1.0,0.7095272044910244,1
latex-formula-extraction,100,100,9,2,10,6,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.6509209298071326,2
lean4-proof,100,100,9,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,100,100,9,1,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,100,100,9,2,10,14,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.5249810332008933,3
manufacturing-fjsp-optimization,100,100,9,1,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mario-coin-counting,100,100,9,3,10,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,100,100,9,3,10,6,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,100,100,9,3,10,11,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9217868789962071,1
multilingual-video-dubbing,100,100,9,6,10,37,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,0.9930783166417604,1
offer-letter-generator,100,100,9,1,10,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,100,100,9,5,10,8,0.0,1.0,1.0,1.0,0.4,0.4,0.4,0.5,0.38356636737133565,2
paper-anonymizer,100,100,9,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
parallel-tfidf-search,100,100,9,3,10,10,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.8070380459557518,1
pddl-tpp-planning,100,100,9,1,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,100,100,9,2,10,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
pedestrian-traffic-counting,100,100,9,4,10,7,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,100,100,9,4,10,36,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
powerlifting-coef-calc,100,100,9,3,10,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
pptx-reference-formatting,100,100,9,1,10,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,100,100,9,1,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,100,100,9,6,10,12,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,100,100,9,1,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,100,100,9,4,10,8,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,100,100,9,2,10,13,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.38685280723454163,2
reserves-at-risk-calc,100,100,9,1,10,16,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.3010299956639812,9
sales-pivot-analysis,100,100,9,2,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,100,100,9,2,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
sec-financial-report,100,100,9,2,10,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,100,100,9,4,10,10,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
setup-fuzzing-py,100,100,9,3,10,4,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
shock-analysis-demand,100,100,9,1,10,21,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.125,0.31546487678572877,8
shock-analysis-supply,100,100,9,1,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,100,100,9,2,10,6,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,100,100,9,3,10,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
speaker-diarization-subtitles,100,100,9,4,10,30,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
spring-boot-jakarta-migration,100,100,9,5,10,9,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
suricata-custom-exfil,100,100,9,3,10,9,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,1
syzkaller-ppdev-syzlang,100,100,9,3,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,100,100,9,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,100,100,9,2,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,100,100,9,2,10,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,100,100,9,6,10,20,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.43292617940918415,1
trend-anomaly-causal-inference,100,100,9,4,10,17,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,100,100,9,3,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,100,100,9,7,10,16,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,0.8971754588393883,1
video-tutorial-indexer,100,100,9,1,10,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,100,100,9,1,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,100,100,9,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,100,100,9,2,10,17,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5706417189553201,3
3d-scan-calc,100,100,10,1,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,100,100,10,5,10,10,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.975788054854922,1
azure-bgp-oscillation-route-leak,100,100,10,1,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,100,100,10,1,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,100,100,10,4,10,8,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,100,100,10,1,10,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
crystallographic-wyckoff-position-analysis,100,100,10,2,10,8,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,100,100,10,2,10,14,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8315546295836225,1
data-to-d3,100,100,10,1,10,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,100,100,10,1,10,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,100,100,10,4,10,6,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
earthquake-phase-association,100,100,10,4,10,3,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,100,100,10,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,100,100,10,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,100,100,10,3,10,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,100,100,10,4,10,5,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
enterprise-information-search,100,100,10,1,10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,100,100,10,2,10,7,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8175295903539445,1
exoplanet-detection-period,100,100,10,5,10,11,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
financial-modeling-qa,100,100,10,2,10,9,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8503449055347546,1
find-topk-similiar-chemicals,100,100,10,3,10,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,100,100,10,4,10,12,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
fix-build-google-auto,100,100,10,3,10,17,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9325210919548239,1
fix-druid-loophole-cve,100,100,10,2,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
fix-erlang-ssh-cve,100,100,10,6,10,8,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.7751482523375256,1
fix-visual-stability,100,100,10,3,10,10,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
flink-query,100,100,10,2,10,5,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.2,0.23719771276929622,5
flood-risk-analysis,100,100,10,3,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,100,100,10,1,10,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,100,100,10,3,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,100,100,10,2,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,100,100,10,3,10,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,100,100,10,5,10,5,1.0,1.0,1.0,1.0,0.6,0.6,0.6,1.0,0.7227265726449519,1
invoice-fraud-detection,100,100,10,3,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jax-computing-basics,100,100,10,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,100,100,10,5,10,4,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5087403079104241,1
lab-unit-harmonization,100,100,10,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,100,100,10,4,10,10,1.0,1.0,1.0,1.0,0.25,0.5,0.75,1.0,0.6804558477306826,1
latex-formula-extraction,100,100,10,2,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
lean4-proof,100,100,10,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,100,100,10,1,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,100,100,10,2,10,20,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5912352048230277,2
manufacturing-fjsp-optimization,100,100,10,1,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mario-coin-counting,100,100,10,3,10,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,100,100,10,3,10,8,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,100,100,10,3,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
multilingual-video-dubbing,100,100,10,6,10,37,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,1.0,0.8922108454754891,1
offer-letter-generator,100,100,10,1,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,100,100,10,5,10,10,0.0,1.0,1.0,1.0,0.2,0.4,0.4,0.5,0.36005461457723403,2
paper-anonymizer,100,100,10,2,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
parallel-tfidf-search,100,100,10,3,10,12,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8395700624665824,1
pddl-tpp-planning,100,100,10,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,100,100,10,2,10,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
pedestrian-traffic-counting,100,100,10,4,10,7,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,100,100,10,4,10,37,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
powerlifting-coef-calc,100,100,10,3,10,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
pptx-reference-formatting,100,100,10,1,10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,100,100,10,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,100,100,10,6,10,18,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,100,100,10,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,100,100,10,4,10,14,0.0,1.0,1.0,1.0,0.25,0.25,0.25,0.5,0.24630238874073,2
react-performance-debugging,100,100,10,2,10,17,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292,3
reserves-at-risk-calc,100,100,10,1,10,12,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.43067655807339306,4
sales-pivot-analysis,100,100,10,2,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,100,100,10,2,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sec-financial-report,100,100,10,2,10,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,100,100,10,4,10,7,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
setup-fuzzing-py,100,100,10,3,10,5,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,1
shock-analysis-demand,100,100,10,1,10,13,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.38685280723454163,5
shock-analysis-supply,100,100,10,1,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,100,100,10,2,10,6,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,100,100,10,3,10,15,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
speaker-diarization-subtitles,100,100,10,4,10,35,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9828920819566879,1
spring-boot-jakarta-migration,100,100,10,5,10,8,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9818483242455303,1
suricata-custom-exfil,100,100,10,3,10,4,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,100,100,10,3,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,100,100,10,1,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,100,100,10,2,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,100,100,10,2,10,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,100,100,10,6,10,20,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.0,0.7580206790284697,1
trend-anomaly-causal-inference,100,100,10,4,10,13,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,100,100,10,3,10,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,100,100,10,7,10,14,1.0,1.0,1.0,1.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.0,0.8824642221139222,1
video-tutorial-indexer,100,100,10,1,10,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,100,100,10,1,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,100,100,10,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,100,100,10,2,10,13,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6934264036172708,2
3d-scan-calc,100,100,11,1,10,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,100,100,11,5,10,8,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.9896062251871525,1
azure-bgp-oscillation-route-leak,100,100,11,1,10,11,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
citation-check,100,100,11,1,10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,100,100,11,4,10,10,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
court-form-filling,100,100,11,1,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,100,100,11,2,10,11,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,100,100,11,2,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
data-to-d3,100,100,11,1,10,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,100,100,11,1,10,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,100,100,11,4,10,7,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,100,100,11,4,10,3,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,100,100,11,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,100,100,11,1,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,100,100,11,3,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,100,100,11,4,10,4,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
enterprise-information-search,100,100,11,1,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,100,100,11,2,10,9,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8315546295836225,1
exoplanet-detection-period,100,100,11,5,10,16,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
financial-modeling-qa,100,100,11,2,10,11,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
find-topk-similiar-chemicals,100,100,11,3,10,7,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,100,100,11,4,10,19,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.787702056960637,1
fix-build-google-auto,100,100,11,3,10,13,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9325210919548239,1
fix-druid-loophole-cve,100,100,11,2,10,15,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292,3
fix-erlang-ssh-cve,100,100,11,6,10,5,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.7409096387260824,1
fix-visual-stability,100,100,11,3,10,10,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6364391809889587,1
flink-query,100,100,11,2,10,6,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.2,0.23719771276929622,5
flood-risk-analysis,100,100,11,3,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,100,100,11,1,10,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,100,100,11,3,10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,100,100,11,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,100,100,11,3,10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,100,100,11,5,10,9,1.0,1.0,1.0,1.0,0.4,0.6,0.6,1.0,0.6548086577531307,1
invoice-fraud-detection,100,100,11,3,10,6,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.8529278650606567,1
jax-computing-basics,100,100,11,1,10,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
jpg-ocr-stat,100,100,11,5,10,3,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
lab-unit-harmonization,100,100,11,1,10,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,100,100,11,4,10,12,1.0,1.0,1.0,1.0,0.25,0.25,0.75,1.0,0.6207412960974641,1
